ts,window_ms,active_ms,idle_ms,active_pct
2026-02-20T05:03:52.531812800+00:00,1016,42.000,974.560,4.13
2026-02-20T05:03:53.573420700+00:00,1040,42.000,998.218,4.04
2026-02-20T05:03:54.611949400+00:00,1038,42.000,996.245,4.05
2026-02-20T05:03:55.614574500+00:00,1002,42.000,960.455,4.19
2026-02-20T05:03:56.666203800+00:00,1051,48.000,1003.511,4.57
2026-02-20T05:03:57.716014+00:00,1049,48.000,1001.289,4.58
2026-02-20T05:03:58.730381800+00:00,1014,42.000,972.161,4.14
2026-02-20T05:03:59.780146300+00:00,1049,48.000,1001.637,4.58
2026-02-20T05:04:00.833370400+00:00,1053,48.000,1005.068,4.56
2026-02-20T05:04:01.867305300+00:00,1033,42.000,991.674,4.07
2026-02-20T05:04:02.912901600+00:00,1045,51.000,994.327,4.88
2026-02-20T05:04:03.950668600+00:00,1037,48.000,989.587,4.63
2026-02-20T05:04:04.999226600+00:00,1047,48.000,999.200,4.58
2026-02-20T05:04:06.063203900+00:00,1063,48.000,1015.832,4.52
2026-02-20T05:04:07.109400300+00:00,1046,51.000,995.017,4.88
2026-02-20T05:04:08.180076200+00:00,1070,51.000,1019.396,4.77
2026-02-20T05:04:09.246886400+00:00,1066,48.000,1018.662,4.50
2026-02-20T05:04:10.297004800+00:00,1049,48.000,1001.943,4.58
2026-02-20T05:04:11.346320800+00:00,1049,48.000,1001.018,4.58
2026-02-20T05:04:12.346646500+00:00,1000,45.000,955.106,4.50
2026-02-20T05:04:13.370864700+00:00,1024,48.000,976.029,4.69
2026-02-20T05:04:14.413205100+00:00,1042,48.000,994.064,4.61
2026-02-20T05:04:15.482366+00:00,1068,48.000,1020.908,4.49
2026-02-20T05:04:16.531157+00:00,1048,48.000,1000.634,4.58
2026-02-20T05:04:17.535286400+00:00,1003,60.000,943.807,5.98
2026-02-20T05:04:18.544705+00:00,1009,93.000,916.336,9.22
2026-02-20T05:04:19.553420200+00:00,1008,78.000,930.601,7.74
2026-02-20T05:04:20.562644800+00:00,1009,72.000,937.130,7.14
2026-03-11T03:54:11.053995400+00:00,1006,114.000,892.408,11.33
2026-03-11T03:54:12.065739300+00:00,1011,122.000,889.011,12.07
2026-03-11T03:54:13.142545700+00:00,1076,133.000,943.679,12.36
2026-03-11T03:54:14.208428+00:00,1065,125.000,940.515,11.74
