ts,priority,dropped_count
2026-02-20T05:04:15.064394900+00:00,normal,1
2026-02-20T05:04:15.128587200+00:00,normal,1
2026-02-20T05:04:15.128736100+00:00,normal,1
2026-02-20T05:04:15.183729200+00:00,normal,1
2026-02-20T05:04:15.184189700+00:00,normal,1
2026-02-20T05:04:15.232678300+00:00,normal,1
2026-02-20T05:04:15.245647400+00:00,normal,1
2026-02-20T05:04:15.298207400+00:00,normal,1
2026-02-20T05:04:15.335648500+00:00,normal,1
2026-02-20T05:04:15.352018600+00:00,normal,1
2026-02-20T05:04:15.396208600+00:00,normal,1
2026-02-20T05:04:15.413235400+00:00,normal,1
2026-02-20T05:04:15.445530600+00:00,normal,1
2026-02-20T05:04:15.467441900+00:00,normal,1
2026-02-20T05:04:15.518195900+00:00,normal,1
2026-02-20T05:04:15.548102600+00:00,normal,1
2026-02-20T05:04:15.579766200+00:00,normal,1
2026-02-20T05:04:15.612471500+00:00,normal,1
2026-02-20T05:04:15.630397300+00:00,normal,1
2026-02-20T05:04:15.651515800+00:00,normal,1
2026-02-20T05:04:15.705679200+00:00,normal,1
2026-02-20T05:04:15.729463300+00:00,normal,1
2026-02-20T05:04:15.764715+00:00,normal,1
2026-02-20T05:04:15.780290400+00:00,normal,1
2026-02-20T05:04:15.817160+00:00,normal,1
2026-02-20T05:04:15.831682300+00:00,normal,1
2026-02-20T05:04:15.866154700+00:00,normal,1
2026-02-20T05:04:15.882745500+00:00,normal,1
2026-02-20T05:04:15.931409300+00:00,normal,1
2026-02-20T05:04:15.979673300+00:00,normal,1
2026-02-20T05:04:15.979781+00:00,normal,1
2026-02-20T05:04:16.016459600+00:00,normal,1
2026-02-20T05:04:16.029837400+00:00,normal,1
2026-02-20T05:04:16.082369400+00:00,normal,1
2026-02-20T05:04:16.082662900+00:00,normal,1
2026-02-20T05:04:16.133586100+00:00,normal,1
2026-02-20T05:04:16.183078600+00:00,normal,1
2026-02-20T05:04:16.183254800+00:00,normal,1
