ts,batch_size,avg_queue_ms,max_queue_ms,fill_pct,event
2026-03-18T08:03:07.404173300+00:00,1,4.983,4.983,0.0,missed_init_or_timeout
2026-03-18T08:03:12.358455+00:00,1,4908.919,4908.919,33.8,sent
2026-03-18T08:03:12.360477700+00:00,64,4860.932,4860.932,21.3,sent
2026-03-18T08:03:12.362939300+00:00,64,4912.088,4912.088,8.8,sent
2026-03-18T08:03:12.374512400+00:00,45,2923.722,2923.722,0.0,sent
2026-03-18T08:03:12.406417800+00:00,1,6.549,6.549,0.0,sent
2026-03-18T08:03:12.450134700+00:00,1,0.363,0.363,0.0,sent
2026-03-18T08:03:12.453003400+00:00,1,2.745,2.745,0.0,sent
2026-03-18T08:03:12.515892100+00:00,1,16.192,16.192,0.0,sent
2026-03-18T08:03:12.550761600+00:00,1,1.080,1.080,0.0,sent
2026-03-18T08:03:12.562700300+00:00,2,12.415,12.415,0.0,sent
2026-03-18T08:03:12.610674900+00:00,1,11.202,11.202,0.0,sent
2026-03-18T08:03:12.650504800+00:00,1,1.050,1.050,0.0,sent
2026-03-18T08:03:12.658392700+00:00,1,7.883,7.883,0.0,sent
2026-03-18T08:03:12.705198700+00:00,1,5.633,5.633,0.0,sent
2026-03-18T08:03:12.750446600+00:00,1,1.015,1.015,0.0,sent
2026-03-18T08:03:12.751882700+00:00,2,1.529,1.529,0.0,sent
2026-03-18T08:03:12.814924800+00:00,1,15.180,15.180,0.0,sent
2026-03-18T08:03:12.850309800+00:00,1,0.819,0.819,0.0,sent
2026-03-18T08:03:12.862030500+00:00,1,11.663,11.663,0.0,sent
2026-03-18T08:03:12.899937800+00:00,1,0.350,0.350,0.0,sent
2026-03-18T08:03:12.950378800+00:00,1,0.981,0.981,0.0,sent
2026-03-18T08:03:12.957672300+00:00,2,7.433,7.433,0.0,sent
2026-03-18T08:03:13.000181900+00:00,1,0.354,0.354,0.0,sent
2026-03-18T08:03:13.050501400+00:00,1,0.984,0.984,0.0,sent
2026-03-18T08:03:13.066975900+00:00,1,16.589,16.589,0.0,sent
2026-03-18T08:03:13.100769100+00:00,1,0.755,0.755,0.0,sent
2026-03-18T08:03:13.150022+00:00,1,0.364,0.364,0.0,sent
2026-03-18T08:03:13.151927400+00:00,2,1.529,1.529,0.0,sent
2026-03-18T08:03:17.357912100+00:00,1,4158.298,4158.298,28.5,sent
2026-03-18T08:03:17.360333100+00:00,64,4110.302,4110.302,16.0,sent
2026-03-18T08:03:17.364760900+00:00,64,4113.730,4113.730,3.5,sent
2026-03-18T08:03:17.376673+00:00,18,1114.882,1114.882,0.0,sent
2026-03-18T08:03:17.411142700+00:00,1,10.460,10.460,0.0,sent
2026-03-18T08:03:17.457503400+00:00,2,7.089,7.089,0.0,sent
2026-03-18T08:03:17.505759800+00:00,1,4.907,4.907,0.0,sent
2026-03-18T08:03:17.552072800+00:00,3,1.584,1.584,0.0,sent
2026-03-18T08:03:17.615308900+00:00,1,14.509,14.509,0.0,sent
2026-03-18T08:03:17.651877300+00:00,2,1.385,1.385,0.0,sent
2026-03-18T08:03:17.711357100+00:00,1,9.494,9.494,0.0,sent
2026-03-18T08:03:17.756470800+00:00,3,5.801,5.801,0.0,sent
2026-03-18T08:03:17.802447400+00:00,1,1.849,1.849,0.0,sent
2026-03-18T08:03:17.852204800+00:00,1,1.385,1.385,0.0,sent
2026-03-18T08:03:17.853836900+00:00,1,3.262,3.262,0.0,sent
2026-03-18T08:03:17.913508300+00:00,1,12.892,12.892,0.0,sent
2026-03-18T08:03:17.952218200+00:00,3,1.383,1.383,0.0,sent
2026-03-18T08:03:18.008775500+00:00,1,8.018,8.018,0.0,sent
2026-03-18T08:03:18.054642300+00:00,2,4.197,4.197,0.0,sent
2026-03-18T08:03:18.101903500+00:00,1,1.255,1.255,0.0,sent
2026-03-18T08:03:18.151729400+00:00,3,1.382,1.382,0.0,sent
2026-03-18T08:03:22.357802300+00:00,1,4157.253,4157.253,28.5,sent
2026-03-18T08:03:22.360224600+00:00,64,4109.240,4109.240,16.0,sent
2026-03-18T08:03:22.370484100+00:00,64,4119.465,4119.465,3.5,sent
2026-03-18T08:03:22.371082800+00:00,18,1120.640,1120.640,0.0,sent
2026-03-18T08:03:22.401781100+00:00,1,0.938,0.938,0.0,sent
2026-03-18T08:03:22.451883100+00:00,2,1.416,1.416,0.0,sent
2026-03-18T08:03:22.501824700+00:00,1,0.919,0.919,0.0,sent
2026-03-18T08:03:22.551726100+00:00,3,1.383,1.383,0.0,sent
2026-03-18T08:03:22.604439100+00:00,1,2.912,2.912,0.0,sent
2026-03-18T08:03:22.651780200+00:00,2,1.385,1.385,0.0,sent
2026-03-18T08:03:22.702062+00:00,1,0.906,0.906,0.0,sent
2026-03-18T08:03:22.751707500+00:00,3,1.385,1.385,0.0,sent
2026-03-18T08:03:22.801835800+00:00,1,0.908,0.908,0.0,sent
2026-03-18T08:03:22.851802200+00:00,2,1.380,1.380,0.0,sent
2026-03-18T08:03:22.901850900+00:00,1,0.896,0.896,0.0,sent
2026-03-18T08:03:22.951736600+00:00,3,1.387,1.387,0.0,sent
2026-03-18T08:03:23.015817+00:00,1,14.795,14.795,0.0,sent
2026-03-18T08:03:23.052278600+00:00,2,1.388,1.388,0.0,sent
2026-03-18T08:03:23.101739600+00:00,1,0.895,0.895,0.0,sent
2026-03-18T08:03:27.357746+00:00,3,4207.385,4207.385,28.7,sent
2026-03-18T08:03:27.360280+00:00,64,4158.904,4158.904,16.2,sent
2026-03-18T08:03:27.362316800+00:00,64,4111.390,4111.390,3.7,sent
2026-03-18T08:03:27.377698500+00:00,19,1226.185,1226.185,0.0,sent
2026-03-18T08:03:27.403819900+00:00,1,1.758,1.758,0.0,sent
2026-03-18T08:03:27.452051200+00:00,1,1.337,1.337,0.0,sent
2026-03-18T08:03:27.456083100+00:00,1,3.993,3.993,0.0,sent
2026-03-18T08:03:27.504127200+00:00,1,1.625,1.625,0.0,sent
2026-03-18T08:03:27.552507500+00:00,2,1.344,1.344,0.0,sent
2026-03-18T08:03:27.566230800+00:00,1,13.533,13.533,0.0,sent
2026-03-18T08:03:27.603741300+00:00,1,1.211,1.211,0.0,sent
2026-03-18T08:03:27.651918+00:00,1,1.340,1.340,0.0,sent
2026-03-18T08:03:27.653730800+00:00,1,1.215,1.215,0.0,sent
2026-03-18T08:03:27.703786800+00:00,1,1.206,1.206,0.0,sent
2026-03-18T08:03:27.752669900+00:00,2,1.343,1.343,0.0,sent
2026-03-18T08:03:27.753781400+00:00,1,1.208,1.208,0.0,sent
2026-03-18T08:03:27.816764500+00:00,1,13.899,13.899,0.0,sent
2026-03-18T08:03:27.852068100+00:00,1,1.341,1.341,0.0,sent
2026-03-18T08:03:27.854233+00:00,1,1.145,1.145,0.0,sent
2026-03-18T08:03:27.903780500+00:00,1,1.131,1.131,0.0,sent
2026-03-18T08:03:27.956128400+00:00,3,5.404,5.404,0.0,sent
2026-03-18T08:03:28.003812100+00:00,1,1.125,1.125,0.0,sent
2026-03-18T08:03:28.051896+00:00,1,1.340,1.340,0.0,sent
2026-03-18T08:03:28.053762300+00:00,1,1.123,1.123,0.0,sent
2026-03-18T08:03:28.103769800+00:00,1,1.115,1.115,0.0,sent
2026-03-18T08:03:28.151897100+00:00,2,1.337,1.337,0.0,sent
2026-03-18T08:03:28.153804100+00:00,1,1.115,1.115,0.0,sent
2026-03-18T08:03:32.358203900+00:00,1,4155.113,4155.113,28.5,sent
2026-03-18T08:03:32.360658300+00:00,64,4107.123,4107.123,16.0,sent
2026-03-18T08:03:32.362423+00:00,64,4111.342,4111.342,3.5,sent
2026-03-18T08:03:32.369050600+00:00,18,1118.444,1118.444,0.0,sent
2026-03-18T08:03:32.403893900+00:00,1,0.493,0.493,0.0,sent
2026-03-18T08:03:32.452349900+00:00,1,1.254,1.254,0.0,sent
